response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
20.0002,0.0220,0.0013,0.0000,0.0366,19.9415,200,0.0004
20.0002,0.0293,0.0015,0.0000,0.0238,19.9469,200,0.0006
20.0002,0.0215,0.0013,0.0001,0.0370,19.9417,200,0.0006
20.0003,0.0274,0.0013,0.0000,0.0258,19.9471,200,0.0007
20.0004,0.0604,0.0014,0.0000,0.0382,19.9017,200,0.0007
20.0004,0.1348,0.0015,0.0000,0.0329,19.8326,200,0.0008
20.0002,0.1046,0.0009,0.0000,0.0337,19.8617,200,0.0010
20.0004,0.0272,0.0015,0.0000,0.0131,19.9600,200,0.0008
20.0004,0.0537,0.0017,0.0000,0.0505,19.8962,200,0.0008
20.0005,0.0603,0.0016,0.0002,0.0731,19.8668,200,0.0008
20.0001,0.1097,0.0010,0.0000,0.0269,19.8634,200,0.0012
20.0001,0.0700,0.0011,0.0000,0.0278,19.9023,200,0.0013
20.0005,0.0608,0.0014,0.0053,0.0312,19.9032,200,0.0008
20.0003,0.0400,0.0005,0.0000,0.0565,19.9038,200,0.0011
20.0004,0.0297,0.0013,0.0000,0.0283,19.9424,200,0.0010
20.0004,0.0601,0.0015,0.0001,0.0726,19.8676,200,0.0011
20.0001,0.0854,0.0008,0.0000,0.0356,19.8791,200,0.0014
20.0007,0.0398,0.0018,0.0001,0.0559,19.9049,200,0.0008
20.0006,0.0963,0.0016,0.0000,0.0257,19.8786,200,0.0009
20.0005,0.0662,0.0005,0.0000,0.0548,19.8794,200,0.0011
20.0007,0.0705,0.0013,0.0000,0.0265,19.9036,200,0.0010
20.0007,0.0532,0.0014,0.0000,0.0512,19.8963,200,0.0010
20.0001,0.0571,0.0007,0.0000,0.0464,19.8966,200,0.0017
20.0006,0.0604,0.0015,0.0000,0.0730,19.8672,200,0.0011
20.0001,0.0887,0.0031,0.0000,0.0439,19.8675,200,0.0017
20.0001,0.0654,0.0005,0.0001,0.0356,19.8989,200,0.0018
20.0007,0.0297,0.0006,0.0000,0.0231,19.9479,200,0.0012
20.0007,0.0261,0.0010,0.0000,0.0272,19.9473,200,0.0012
20.0001,0.0589,0.0007,0.0000,0.0387,19.9025,200,0.0019
20.0010,0.1012,0.0004,0.0000,0.0250,19.8747,200,0.0012
20.0009,0.0576,0.0012,0.0000,0.0381,19.9052,200,0.0012
20.0001,0.0521,0.0134,0.0000,0.0428,19.9052,200,0.0021
20.0010,0.0291,0.0010,0.0000,0.0235,19.9484,200,0.0012
20.0011,0.1292,0.0009,0.0000,0.0317,19.8401,200,0.0012
20.0013,0.0274,0.0013,0.0000,0.0257,19.9481,200,0.0010
