response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
12.8415,0.0000,0.0000,0.0000,0.0286,12.8129,200,13.8584
12.8537,0.0000,0.0000,0.0000,0.0251,12.8286,200,13.8637
12.9832,0.0000,0.0000,0.0000,0.0266,12.9565,200,13.7635
12.8112,0.0000,0.0000,0.0000,0.0246,12.7865,200,13.9393
13.0657,0.0000,0.0000,0.0000,0.0252,13.0404,200,13.6951
12.7147,0.0000,0.0000,0.0000,0.0247,12.6899,200,14.0763
12.9359,0.0000,0.0000,0.0000,0.0243,12.9115,200,13.8646
12.9775,0.0000,0.0000,0.0000,0.0278,12.9497,200,13.8367
12.8442,0.0000,0.0000,0.0000,0.0254,12.8187,200,13.9770
13.1858,0.0000,0.0000,0.0000,0.0269,13.1587,200,13.6471
12.7586,0.0000,0.0000,0.0000,0.0246,12.7340,200,14.1034
13.0451,0.0000,0.0000,0.0000,0.0278,13.0173,200,13.8397
12.9378,0.0000,0.0000,0.0000,0.0283,12.9094,200,13.9562
13.0684,0.0000,0.0000,0.0000,0.0273,13.0410,200,13.8479
13.1733,0.0000,0.0000,0.0000,0.0249,13.1483,200,13.8783
12.6055,0.0000,0.0000,0.0000,0.0274,12.5781,200,25.9781
12.2683,0.0000,0.0000,0.0000,0.0240,12.2442,200,26.6999
12.8584,0.0000,0.0000,0.0000,0.0259,12.8325,200,26.1190
12.6985,0.0000,0.0000,0.0000,0.0244,12.6741,200,26.2919
13.0185,0.0000,0.0000,0.0000,0.0263,12.9922,200,25.9888
12.4823,0.0000,0.0000,0.0000,0.0250,12.4573,200,26.5650
12.6168,0.0000,0.0000,0.0000,0.0261,12.5907,200,26.4867
12.9967,0.0000,0.0000,0.0000,0.0275,12.9692,200,26.1491
12.7998,0.0000,0.0000,0.0000,0.0272,12.7726,200,26.3564
12.9431,0.0000,0.0000,0.0000,0.0267,12.9163,200,26.2316
12.6389,0.0000,0.0000,0.0000,0.0254,12.6134,200,26.5581
12.6646,0.0000,0.0000,0.0000,0.0255,12.6391,200,26.5355
12.9534,0.0000,0.0000,0.0000,0.0270,12.9263,200,26.2470
12.8012,0.0000,0.0000,0.0000,0.0267,12.7744,200,26.4569
12.7499,0.0000,0.0000,0.0000,0.0244,12.7254,200,26.5093
12.7555,0.0000,0.0000,0.0000,0.0283,12.7272,200,26.5288
12.6438,0.0000,0.0000,0.0000,0.0269,12.6169,200,26.6413
12.7008,0.0000,0.0000,0.0000,0.0269,12.6739,200,26.6546
12.9156,0.0000,0.0000,0.0000,0.0280,12.8875,200,26.4591
12.8363,0.0000,0.0000,0.0000,0.0261,12.8101,200,26.5734
13.2447,0.0000,0.0000,0.0000,0.0245,13.2202,200,26.1652
12.9282,0.0000,0.0000,0.0000,0.0282,12.9000,200,26.5322
13.1180,0.0000,0.0000,0.0000,0.0249,13.0931,200,26.3523
13.1487,0.0000,0.0000,0.0000,0.0263,13.1223,200,26.3287
13.0663,0.0000,0.0000,0.0000,0.0275,13.0387,200,26.4245
12.6302,0.0000,0.0000,0.0000,0.0266,12.6036,200,26.8621
13.0068,0.0000,0.0000,0.0000,0.0236,12.9831,200,26.4951
13.1433,0.0000,0.0000,0.0000,0.0284,13.1148,200,26.3620
13.0749,0.0000,0.0000,0.0000,0.0265,13.0484,200,26.4713
12.9837,0.0000,0.0000,0.0000,0.0274,12.9563,200,26.5815
13.1413,0.0000,0.0000,0.0000,0.0270,13.1143,200,26.4432
12.9896,0.0000,0.0000,0.0001,0.0260,12.9635,200,26.6259
12.7991,0.0000,0.0000,0.0000,0.0274,12.7716,200,26.8212
13.0543,0.0000,0.0000,0.0000,0.0244,13.0299,200,26.5807
13.0247,0.0000,0.0000,0.0000,0.0288,12.9959,200,26.6489
13.1695,0.0000,0.0000,0.0000,0.0292,13.1402,200,26.5311
12.8775,0.0000,0.0000,0.0000,0.0243,12.8532,200,26.8328
13.0060,0.0000,0.0000,0.0000,0.0260,12.9800,200,26.7174
12.8149,0.0000,0.0000,0.0000,0.0282,12.7867,200,26.9163
12.9817,0.0000,0.0000,0.0000,0.0265,12.9552,200,26.7505
13.2052,0.0000,0.0000,0.0000,0.0281,13.1770,200,26.5497
12.9671,0.0000,0.0000,0.0000,0.0285,12.9386,200,26.7910
12.9630,0.0000,0.0000,0.0000,0.0268,12.9362,200,26.8005
13.0127,0.0000,0.0000,0.0000,0.0270,12.9856,200,26.7608
13.3245,0.0000,0.0000,0.0000,0.0266,13.2979,200,26.4605
12.9762,0.0000,0.0000,0.0000,0.0258,12.9503,200,26.8142
13.0516,0.0000,0.0000,0.0000,0.0260,13.0255,200,26.7466
13.0290,0.0000,0.0000,0.0000,0.0253,13.0036,200,26.8848
13.0438,0.0000,0.0000,0.0000,0.0263,13.0175,200,26.8940
12.8957,0.0000,0.0000,0.0000,0.0248,12.8708,200,27.0516
12.6615,0.0000,0.0000,0.0000,0.0258,12.6357,200,38.5836
