response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
8.1155,0.0000,0.0000,0.0000,0.0241,8.0913,200,17.1925
8.2179,0.0000,0.0000,0.0000,0.0247,8.1931,200,17.1524
8.2309,0.0000,0.0000,0.0000,0.0234,8.2075,200,17.1694
8.2517,0.0000,0.0000,0.0000,0.0246,8.2271,200,17.2132
8.2999,0.0000,0.0000,0.0000,0.0237,8.2762,200,17.2345
8.3438,0.0000,0.0000,0.0000,0.0242,8.3196,200,17.2136
8.2796,0.0000,0.0000,0.0000,0.0290,8.2506,200,17.3512
8.2751,0.0000,0.0000,0.0000,0.0277,8.2474,200,17.3682
8.1731,0.0000,0.0000,0.0000,0.0229,8.1502,200,17.5626
8.3389,0.0000,0.0000,0.0000,0.0276,8.3113,200,17.4494
8.3968,0.0000,0.0000,0.0000,0.0244,8.3724,200,17.6101
7.7497,0.0000,0.0000,0.0000,0.0241,7.7255,200,24.9912
8.0305,0.0000,0.0000,0.0000,0.0243,8.0062,200,24.9485
7.9756,0.0000,0.0000,0.0000,0.0233,7.9523,200,25.0038
8.0788,0.0000,0.0000,0.0000,0.0242,8.0546,200,24.9040
8.0523,0.0000,0.0000,0.0000,0.0243,8.0279,200,24.9457
7.9225,0.0000,0.0000,0.0000,0.0229,7.8995,200,25.1126
8.1062,0.0000,0.0000,0.0000,0.0276,8.0785,200,24.9334
7.9113,0.0000,0.0000,0.0000,0.0240,7.8873,200,25.1616
7.8735,0.0000,0.0000,0.0000,0.0251,7.8484,200,25.2132
8.2343,0.0000,0.0000,0.0000,0.0245,8.2098,200,24.8618
8.2783,0.0000,0.0000,0.0000,0.0224,8.2558,200,24.8242
7.9654,0.0000,0.0000,0.0000,0.0234,7.9420,200,25.1789
7.8192,0.0000,0.0000,0.0000,0.0239,7.7952,200,25.3703
8.0623,0.0000,0.0000,0.0000,0.0253,8.0370,200,25.1825
8.2038,0.0000,0.0000,0.0000,0.0260,8.1777,200,25.0682
8.0533,0.0000,0.0000,0.0000,0.0240,8.0292,200,25.2293
8.3519,0.0000,0.0000,0.0000,0.0232,8.3287,200,24.9470
8.2151,0.0000,0.0000,0.0000,0.0233,8.1918,200,25.1445
8.1006,0.0000,0.0000,0.0000,0.0257,8.0748,200,25.2655
7.8654,0.0000,0.0000,0.0000,0.0227,7.8426,200,25.5574
8.4264,0.0000,0.0000,0.0000,0.0255,8.4009,200,25.0291
8.3065,0.0000,0.0000,0.0000,0.0250,8.2814,200,25.2066
8.3987,0.0000,0.0000,0.0000,0.0255,8.3731,200,25.1157
8.2173,0.0000,0.0000,0.0000,0.0247,8.1926,200,25.3080
8.1383,0.0000,0.0000,0.0000,0.0228,8.1154,200,25.4649
8.0928,0.0000,0.0000,0.0000,0.0249,8.0678,200,25.5344
8.3757,0.0000,0.0000,0.0000,0.0231,8.3526,200,25.4003
8.2352,0.0000,0.0000,0.0000,0.0230,8.2121,200,25.6308
